id,name,gpa,field_of_study,financial_aid,requirements
SA7450,Michael Weeks,3.19,Business,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S8A1FF,Andrew Flores,3.91,Education,"['Presidential Scholarship', 'Public Service Grant']","['GPA ≥ 3.8', 'Field of Study in Public Service']"
SCCECC,Jose Crane,2.26,Education,['Public Service Grant'],['Field of Study in Public Service']
S052A2,Jeffrey Fletcher,3.78,Music,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S91BF2,Joann Horton,2.09,Business,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
SED366,John Gomez,3.36,Mathematics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SE8E0E,Carolyn Ritter,3.47,English,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S41BD2,Margaret Pierce,2.91,Physics,['STEM Excellence Award'],['Field of Study in STEM']
S8DF38,Jennifer Williams,4.0,Law,"['Presidential Scholarship', 'Legal Studies Full Ride']","['GPA ≥ 3.8', 'Field of Study in Legal Studies']"
S262E1,Diane Mitchell,2.43,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S960AD,Blake Barajas,3.2,Business,"['Academic Achievement Grant', 'Business Leadership Scholarship']","['GPA ≥ 3.2', 'Field of Study in Business/Economics']"
SE061B,Natalie Freeman,2.79,Physics,['STEM Excellence Award'],['Field of Study in STEM']
SD38C0,Cynthia Brock,3.26,Art,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S4071A,Nicole Lutz,2.73,Nursing,['Public Service Grant'],['Field of Study in Public Service']
S67523,David Townsend,2.23,Education,['Public Service Grant'],['Field of Study in Public Service']
SFF209,Jonathan Taylor,3.36,IT,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S13BEB,Linda Gay,2.29,Physics,['STEM Excellence Award'],['Field of Study in STEM']
S6A9FB,Katherine Gomez,3.89,Education,"['Presidential Scholarship', 'Public Service Grant']","['GPA ≥ 3.8', 'Field of Study in Public Service']"
SD787B,Kimberly Woods,3.19,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S8B044,Matthew Buck,3.33,Mathematics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S9F2CC,Mark Sullivan,2.97,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S4CFD9,Matthew Wallace DDS,3.27,Anthropology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S531D8,William Gibbs,3.54,Philosophy,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S45573,Kelsey Bell,2.69,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S0BB74,Jessica Hubbard,2.07,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SDB384,Melissa Thompson,3.1,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S92DCD,Shannon Vasquez,2.95,Physics,['STEM Excellence Award'],['Field of Study in STEM']
S43870,Patricia Richards,3.08,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
S9C47E,Robert Rose,2.33,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
S5A83D,Kristina Hudson,2.35,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
S7F90A,Rodney Johnson,3.3,Chemistry,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S16D62,Michelle Johnson,3.59,Law,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S88874,Mrs. Deborah Smith,2.6,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S6AB5C,Jeremy Stanley,2.82,Education,['Public Service Grant'],['Field of Study in Public Service']
S902AD,Jeanette Porter,3.82,Mathematics,"['Presidential Scholarship', 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.8', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
SDBE18,Brooke Sanchez,3.31,Economics,"['Academic Achievement Grant', 'Business Leadership Scholarship']","['GPA ≥ 3.2', 'Field of Study in Business/Economics']"
S988E9,Latoya Chambers,2.99,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
SB0A82,Brandon Bass,3.78,Education,"[""Dean's Merit Scholarship"", 'Public Service Grant']","['GPA ≥ 3.6', 'Field of Study in Public Service']"
S345AE,Heidi Armstrong,3.94,Art,"['Presidential Scholarship', 'Liberal Arts Fellowship']","['GPA ≥ 3.8', 'Field of Study in Liberal Arts']"
S88E52,Dakota Moore,2.7,History,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SA74C9,Stephen Green,3.15,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
S586D2,Jamie Watkins,2.34,Art,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S69680,Mr. Luis Baker,3.5,Economics,"['Academic Achievement Grant', 'Business Leadership Scholarship']","['GPA ≥ 3.2', 'Field of Study in Business/Economics']"
S06EC6,Jason Craig,3.85,Law,"['Presidential Scholarship', 'Legal Studies Full Ride']","['GPA ≥ 3.8', 'Field of Study in Legal Studies']"
S82804,Kimberly Donovan,2.87,Education,['Public Service Grant'],['Field of Study in Public Service']
S38DA9,Tyler Brock,2.21,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S7FCFF,William Baker,3.17,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S23373,Vincent Murphy,3.08,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S25257,Diane Wilson,3.17,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S2F0E9,Michael Ortiz,3.64,Mathematics,"[""Dean's Merit Scholarship"", 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.6', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S117A0,Crystal Jenkins,3.52,Paralegal,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S68D30,David Jones,3.64,Engineering,"[""Dean's Merit Scholarship"", 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.6', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S4FB73,Mark Clarke,2.92,Education,['Public Service Grant'],['Field of Study in Public Service']
S1C288,Shane Bowen,3.03,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S83367,Shelby Smith,3.78,Nursing,"[""Dean's Merit Scholarship"", 'Public Service Grant']","['GPA ≥ 3.6', 'Field of Study in Public Service']"
S3A665,Brian Ryan,2.01,Nursing,['Public Service Grant'],['Field of Study in Public Service']
SF68A2,Christine Johnson,2.88,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S2F75D,Charles Clark,2.6,History,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S5260D,Kenneth Pratt,3.74,Sociology,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
S92746,Elizabeth Lester,2.09,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
S660E0,Jesse Griffin,3.45,Statistics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S905BF,Shelby Frazier,2.31,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
SD0B4D,Krista Cunningham,3.99,Biology,"['Presidential Scholarship', 'STEM Excellence Award']","['GPA ≥ 3.8', 'Field of Study in STEM']"
S73832,Gary Sweeney,2.23,Art,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S67144,Mary White,2.23,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
SFC9B2,Jo Bass,3.17,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
S732B4,Gary Washington,2.65,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SE5A7F,Michael Rivera,2.19,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
SB04EC,Kathryn Stanley,2.36,Nursing,['Public Service Grant'],['Field of Study in Public Service']
S725E1,John Bean,2.7,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S34BC6,Amy Mcfarland,2.85,Philosophy,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S2792C,Claudia Ramirez,2.24,Nursing,['Public Service Grant'],['Field of Study in Public Service']
S585AF,Michael Jackson,3.78,Physics,"[""Dean's Merit Scholarship"", 'STEM Excellence Award']","['GPA ≥ 3.6', 'Field of Study in STEM']"
S4C696,Donald Baxter,3.59,Statistics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SA3EBD,Kevin Hill,2.45,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
SC94FC,Mark Stephens,3.13,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S8AFE5,Mark Hughes,2.73,Education,['Public Service Grant'],['Field of Study in Public Service']
S2EACD,Sherri Perry,3.73,Biology,"[""Dean's Merit Scholarship"", 'STEM Excellence Award']","['GPA ≥ 3.6', 'Field of Study in STEM']"
S51813,Sara Clark,3.9,Engineering,"['Presidential Scholarship', 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.8', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
SFE2E0,Troy Gray,2.93,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
SF0511,Cory Warner,2.42,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
SFCE68,Alfred Smith,2.58,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S1DA23,Guy Lane,3.52,Biology,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S8CD2C,Crystal Romero,3.81,Music,"['Presidential Scholarship', 'Liberal Arts Fellowship']","['GPA ≥ 3.8', 'Field of Study in Liberal Arts']"
S022B0,Courtney Cline,2.88,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
SF4D10,Nicole Stewart,3.31,Law,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S53583,Michael Miller,2.88,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S256F2,Anthony Gonzalez,2.51,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
SE55B4,Edward Stokes,3.72,History,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S51142,Stephen Kirby,2.79,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SB886F,Jordan Owens,3.1,Nursing,['Public Service Grant'],['Field of Study in Public Service']
S90477,James Weiss,3.08,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
SD94A8,Robert Freeman,2.82,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S490CD,Antonio Fields,3.18,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
S94B7E,Courtney Delgado,3.21,Anthropology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
SEA82E,Jasmine Moore,2.25,Biology,['STEM Excellence Award'],['Field of Study in STEM']
SACA47,Alexandria Garcia,2.82,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SD54B7,Susan Mccarthy,3.06,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
S10248,Seth Hernandez,3.43,Paralegal,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S9A4E9,Brenda Howard,2.19,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
S7CB08,Bryan Ryan,3.5,History,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S3580D,Sharon Pineda,2.99,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SA8F63,Cynthia Malone,2.49,Art,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SC67CE,Alvin Phillips,3.74,Law,"[""Dean's Merit Scholarship"", 'Legal Studies Full Ride']","['GPA ≥ 3.6', 'Field of Study in Legal Studies']"
S80EFA,Nicolas Edwards,2.28,Philosophy,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S7D77F,Juan Martinez,2.18,IT,['STEM Excellence Award'],['Field of Study in STEM']
S07D3D,Deborah West,2.19,Physics,['STEM Excellence Award'],['Field of Study in STEM']
SDD2BA,Tony Anderson,3.94,Music,"['Presidential Scholarship', 'Liberal Arts Fellowship']","['GPA ≥ 3.8', 'Field of Study in Liberal Arts']"
S1CF1B,Andrew Wallace,2.78,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SA53B7,Christopher York,2.28,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
SAA538,Victoria Robbins,2.31,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
SB6346,Jerry Alvarado,3.21,Art,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S7D382,Kelli Taylor,3.59,Music,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S24882,Steven Barker,2.37,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
S2A212,Joseph Fowler,3.24,Music,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
SA01E7,Ian Shelton,3.34,History,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
SF03FE,Ricky Lyons,2.63,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
SCEC45,Tracy Santos DVM,3.06,IT,['STEM Excellence Award'],['Field of Study in STEM']
S1529C,Tammy Farrell,3.47,IT,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SF8E2E,Aaron Thompson,2.84,Business,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S84224,Tony Price,3.67,Biology,"[""Dean's Merit Scholarship"", 'STEM Excellence Award']","['GPA ≥ 3.6', 'Field of Study in STEM']"
S940CD,Robin Herrera,3.61,History,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S4F44C,Mark Massey,3.41,Business,"['Academic Achievement Grant', 'Business Leadership Scholarship']","['GPA ≥ 3.2', 'Field of Study in Business/Economics']"
S9DE68,Ariel West,3.93,Sociology,"['Presidential Scholarship', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.8', 'Field of Study in Behavioral and Social Sciences']"
S31B8E,Charles Scott,3.76,Engineering,"[""Dean's Merit Scholarship"", 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.6', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
SAA7FB,Christina Hicks,3.86,Physics,"['Presidential Scholarship', 'STEM Excellence Award']","['GPA ≥ 3.8', 'Field of Study in STEM']"
S366FA,Justin Lee,3.27,Anthropology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S7587A,Kristin Bryant,3.57,Anthropology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
SA5EA1,Christopher Mullins,3.79,Economics,"[""Dean's Merit Scholarship"", 'Business Leadership Scholarship']","['GPA ≥ 3.6', 'Field of Study in Business/Economics']"
S350A5,Melissa Oneal,3.0,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S6473C,Amber Austin,3.31,Biology,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S93C36,Stephanie Bean,2.19,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
SE2A3B,Ian Coleman,2.85,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
S057D2,Robert Smith,2.51,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S51F7F,Debra Levine,2.01,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S9D05C,Richard Gilbert,4.0,Psychology,"['Presidential Scholarship', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.8', 'Field of Study in Behavioral and Social Sciences']"
SC420B,Jose Adams,3.74,English,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S965CB,Darrell Jackson,3.59,IT,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S4D75D,Laura Velazquez,2.52,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S2CB48,Andre Haas,2.24,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
SE51F1,Michael Hoffman,2.23,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S8A02A,Vanessa Hardin,2.26,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SBBA02,Judy Jones,3.26,Law,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S138EE,Anthony Andrews,3.91,Anthropology,"['Presidential Scholarship', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.8', 'Field of Study in Behavioral and Social Sciences']"
S149CB,Eric Nelson,2.63,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S42926,Michael Moran,2.52,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S44243,James Perry,3.26,English,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S221B6,Robin Johnson,3.62,Art,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S60705,Anita Warren,3.37,Education,"['Academic Achievement Grant', 'Public Service Grant']","['GPA ≥ 3.2', 'Field of Study in Public Service']"
SDACEC,Lauren Parker,2.85,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SEDA8D,Mark Butler,3.6,Psychology,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
S8C21A,Christine Olsen,3.5,IT,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S59882,Suzanne Thomas,3.02,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SB3F99,Donald Washington,3.66,Education,"[""Dean's Merit Scholarship"", 'Public Service Grant']","['GPA ≥ 3.6', 'Field of Study in Public Service']"
S48755,Michael Martinez,3.99,Sociology,"['Presidential Scholarship', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.8', 'Field of Study in Behavioral and Social Sciences']"
S57307,Justin Martinez,2.65,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S64D63,Robert Alexander,3.24,Chemistry,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S2ACEF,Donald Barnes,2.35,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SC54B5,Sara Bonilla,2.94,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
S1F55D,Wendy Chapman,3.42,Business,"['Academic Achievement Grant', 'Business Leadership Scholarship']","['GPA ≥ 3.2', 'Field of Study in Business/Economics']"
SC948B,Kevin Hess,2.42,IT,['STEM Excellence Award'],['Field of Study in STEM']
S0AC5B,Nicole Hardy,3.7,Mathematics,"[""Dean's Merit Scholarship"", 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.6', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S04285,Lisa Thomas,3.54,Anthropology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S4BA14,Hannah Johnson,2.04,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
S04993,Scott Sharp,3.55,IT,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SD450A,Hayley Mckenzie,2.28,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SA328D,Natalie Jones,3.94,Mathematics,"['Presidential Scholarship', 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.8', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S59183,Jon Miller,2.29,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
S84397,Melanie Oliver,2.8,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
S3AFC3,Richard Robinson,2.87,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S99610,Mario Krueger,2.41,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
S930FF,Johnny Whitehead,2.16,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
SA3352,James Cabrera,3.02,IT,['STEM Excellence Award'],['Field of Study in STEM']
S33AAE,Carlos Holder,2.9,Biology,['STEM Excellence Award'],['Field of Study in STEM']
S520F0,Nicole Huber,2.88,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SE4326,Joel Thomas,2.66,Art,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SB21A0,Brian Colon,2.85,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
S85C9D,Mr. Justin Green,2.54,Education,['Public Service Grant'],['Field of Study in Public Service']
SE273A,Linda Taylor,3.49,Law,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S101DD,Luis Hall,2.49,History,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SBC3A0,Julie Ford,2.28,Art,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S99774,Vanessa Jones,3.89,English,"['Presidential Scholarship', 'Liberal Arts Fellowship']","['GPA ≥ 3.8', 'Field of Study in Liberal Arts']"
SA5FA3,Joann Harris,2.13,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
S20C35,Christy Andrade,3.26,Art,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S8BF8E,Elizabeth Vaughn,2.92,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S876D1,Debra Reid,3.38,Physics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S4A1C1,Christopher Russell,3.07,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S4783E,Anthony Meyers,2.1,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
S65760,Brenda Watson,3.12,Business,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
SC333D,Andrea Cooper,3.13,Philosophy,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S31A9D,Jeremy Davis,2.27,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
S8D90B,Jessica Stewart,2.24,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
SE8C9E,Ronnie Mcconnell,3.74,Law,"[""Dean's Merit Scholarship"", 'Legal Studies Full Ride']","['GPA ≥ 3.6', 'Field of Study in Legal Studies']"
S0CDD9,Anne Fowler,3.54,Nursing,"['Academic Achievement Grant', 'Public Service Grant']","['GPA ≥ 3.2', 'Field of Study in Public Service']"
S7CB3A,Brian Bright,3.22,Art,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S774A8,Alexandria Johnson,2.13,Nursing,['Public Service Grant'],['Field of Study in Public Service']
SB1076,Lauren Hunt,2.02,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S50E0C,Mr. Jack Mcdowell,2.81,Philosophy,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S956CA,Mary Foster,3.22,IT,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S803B8,Matthew Dalton,3.27,Engineering,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S06A81,Joseph Lee,2.46,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
SD3F54,Mr. Chris Singleton,2.77,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SE15D2,Ashley Thompson,2.37,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
SB3749,Vincent Callahan,2.75,Philosophy,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S9AEF3,Jordan Cochran,3.58,Anthropology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S2E18E,William Ingram,2.08,Education,['Public Service Grant'],['Field of Study in Public Service']
S06E32,Madison Rodriguez,2.01,Education,['Public Service Grant'],['Field of Study in Public Service']
S8FEDC,David Smith,3.57,Physics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S1CD03,Michelle Roberts,2.55,Biology,['STEM Excellence Award'],['Field of Study in STEM']
SFC9BF,William Barnes,3.24,Biology,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S641A2,Marc Johnson,2.12,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
S38F4C,Stephanie Hood,3.83,English,"['Presidential Scholarship', 'Liberal Arts Fellowship']","['GPA ≥ 3.8', 'Field of Study in Liberal Arts']"
SA9E4A,Susan Gibson,3.77,Education,"[""Dean's Merit Scholarship"", 'Public Service Grant']","['GPA ≥ 3.6', 'Field of Study in Public Service']"
S12761,Dean Porter,3.65,Statistics,"[""Dean's Merit Scholarship"", 'STEM Excellence Award']","['GPA ≥ 3.6', 'Field of Study in STEM']"
S7C7CB,Scott Jones,2.61,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
SAB4A6,Amy Reyes,2.1,IT,['STEM Excellence Award'],['Field of Study in STEM']
S0729C,Troy Burgess,2.29,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
S53271,Justin Mcguire,3.74,Chemistry,"[""Dean's Merit Scholarship"", 'STEM Excellence Award']","['GPA ≥ 3.6', 'Field of Study in STEM']"
S60AD3,Kimberly Smith,2.66,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
